consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,metric_basis,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,raw_prefilter_qtd,resultado_zero,sample_engineering_ratio,sample_objetos,ticket_medio,ticket_medio_formula,tipos_obra,uf,valor_semantica,valor_total
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",127 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS,82911249000113,2026-07-23,2023-07-20,127,1,152,False,0.833,"[""A CONTRATAÇÃO DE EMPRESA DO RAMO PERTINENTE OBJETIVANDO A IMPLANTAÇÃO, AMPLIAÇÃO E MANUTENÇÃO DOS SISTEMAS DE DRENAGEM PLUVIAL DO MUNICÍPIO DE ARARANGUÁ/SC, COM A RECONSTITUIÇÃO DO PAVIMENTO, DO LOTE "", ""A CONTRATAÇÃO DE SERVIÇOS DO LOTE 01 PARA IMPLANTAÇÃO E AMPLIAÇÃO DA DRENAGEM PLUVIAL E O REASSENTAMENTO DO PAVIMENTO EXISTENTE DA ÁREA DO CONSERTO, NOS MAIS DIVERSOS LOCAIS DO MUNICÍPIO DE ARARANGUÁ/"", ""A CONTRATAÇÃO DE SERVIÇOS DO LOTE 02 PARA IMPLANTAÇÃO E AMPLIAÇÃO DA DRENAGEM PLUVIAL E O REASSENTAMENTO DO PAVIMENTO EXISTENTE DA ÁREA DO CONSERTO, NOS MAIS DIVERSOS LOCAIS DO MUNICÍPIO DE ARARANGUÁ/""]",641067.59,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""pavimentacao""]",SC,CONTRATADO,81415583.44
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",92 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},SECRETARIA DE INFRAESTRUTURA URBANA,95815379000102,2026-07-23,2023-07-20,92,2,100,False,0.917,"[""\""AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO E PAVIMENTAÇÃO DE RUAS E VALAS DO MUNICÍPIO DE BOMBINHAS\""."", ""Aquisição de mini escavadeira e pá carregadeira, novas, destinadas a atender às demandas operacionais da Secretaria Municipal de Infraestrutura Urbana do Município de Bombinhas/SC, visando ao apoio às"", ""CONTRATAÇÃ DE EMPRESA PARA PAVIMENTAÇÃO DO GALPÃO DA SECRETARIA DE OBRAS DO MUNICÍPIO DE BOMBINHAS.""]",150495.41,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""infraestrutura_urbana"", ""pavimentacao""]",SC,CONTRATADO,13845577.62
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",46 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA MUNICIPAL DE IÇARA - SC,82916800000111,2026-07-23,2023-07-20,46,3,92,False,0.5,"[""CONTRATAÇÃO DA COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO (CASAN) PARA PRESTAÇÃO DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA POTÁVEL E DE ESGOTAMENTO SANITÁRIO (COLETA E TRATAMENTO) VISANDO ATENDER ÀS NECES"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE AMPLIAÇÃO DE EDIFICAÇÃO PARA O CENTRO DE EDUCAÇÃO INFANTIL (CEI) DO BAIRRO ESPLANADA, CONFORME ESPECIFICAÇÕES DETALHADAS NO PROJETO BÁSICO."", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO ASFÁLTICA DA RODOVIA LINHA TRÊS RIBEIRÕES – ICR 250 NO TRECHO ENTRE AS ESTACAS 0PP+0,00 A 66+0,00.""]",637806.2,valor_total / qtd_contratacoes (same semantic as valor_total),"[""edificacoes"", ""pavimentacao"", ""saneamento""]",SC,CONTRATADO,29339085.2
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",76 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Secretaria de Planejamento e Infraestrutura e Saneamento,82892316000108,2026-07-23,2023-07-20,76,4,91,False,0.833,"[""Contratação de Empresa Especializada para Execução de Drenagem, Pavimentação Asfáltica e Sinalização Viária da Rua Aníbal Nunes Pires, localizada no Bairro Ponte do Imaruim, Palhoça/SC, incluindo forn"", ""Contratação de empresa especializada para Execução de Drenagem, Pavimentação Asfáltica e Sinalização Viária da Rua José João Barcelos, trecho entre os Bairros Caminho Novo e Bela Vista, Palhoça/SC., i"", ""Contratação de Empresa Especializada para Execução de Pavimentação Asfáltica, Sinalização viária e Substituição de rede de água da Rua José Cosme Pamplona, localizada no Bairro Bela Vista, Palhoça/SC,""]",687246.92,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""pavimentacao""]",SC,CONTRATADO,52230765.58
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",42 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},MUNICÍPIO DE SÃO JOÃO DO OESTE,80911936000103,2026-07-23,2023-07-20,42,5,83,False,0.5,"[""Contratação de consórcio público multifinalitário para execução de pavimentação asfáltica de via pública, localizada em Linha Ervalzinho, município de São João do Oeste/SC, de acordo com os projetos, "", ""Contratação de empresa especializada para execução de obra de engenharia destinada à implantação de pavimentação asfáltica da Estrada Linha Jaboticaba, compreendendo a execução dos serviços de terrapl"", ""Contratação de empresa para prestação de serviços de mão de obra com fornecimento de materiais e equipamentos para execução da Pavimentação asfáltica, drenagem pluvial e sinalização viária de trechos ""]",286093.28,valor_total / qtd_contratacoes (same semantic as valor_total),"[""obras_civis"", ""pavimentacao"", ""saneamento""]",SC,CONTRATADO,12015917.73
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",47 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Serviço Municipal de Água Saneamento Básico e Infraestrutura - SEMASA,05472936000139,2026-07-23,2023-07-20,47,6,80,False,0.583,"[""Aquisição de eletrodo PH/temp Intellical cabo 1m (marca Hach) para laboratório de qualidade da Estação de Tratamento de Água (ETA) do Serviço Municipal de Água, Saneamento Básico e Infraestrutura – SE"", ""Aquisição de equipamentos para desinfecção e fluoretação de águas para uso em poços do Serviço Municipal de Água, Saneamento Básico e Infraestrutura – SEMASA – de Itajaí/SC. Processo de origem: 2025-E"", ""Aquisição de insumos, reagentes, vidrarias e materiais para análises nos laboratórios da Estação de Tratamento de Esgoto Cidade Nova e da Estação de Tratamento de Água São Roque do SEMASA - Itajaí/SC.""]",735418.36,valor_total / qtd_contratacoes (same semantic as valor_total),"[""saneamento""]",SC,CONTRATADO,34564663.05
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",48 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Consórcio Interfederativo Santa Catarina - CINCATARINA,12075748000132,2026-07-23,2023-07-20,48,7,80,False,0.6,"[""Execucao de servicos de Projetos de Pavimentacao"", ""Execucao de servicos de Projetos de Pavimentacao."", ""REGISTRO DE PREÇO NA MODALIDADE PREGÃO PARA FUTURA E EVENTUAL CONTRATAÇÃO, COM FORNECIMENTO PARCELADO, DE PROJETOS DE PAVIMENTAÇÃO PARA USO DOS ÓRGÃOS OU ENTIDADES DOS ENTES CONSORCIADOS, COOPERADOS O""]",64055.15,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao""]",SC,CONTRATADO,3074647.15
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",76 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Secretaria de Infraestrutura,83102574000106,2026-07-23,2023-07-20,76,8,76,False,1.0,"[""Contratação de empresa especializada para execução de obras de pavimentação asfáltica, drenagem pluvial e sinalização viária na Estrada Navegantes, Bairro Navegantes, Rio do Sul/SC."", ""Contratação de empresa especializada para execução de obras de pavimentação asfáltica, drenagem pluvial e sinalização viária na Rua: Antônio Dolzani, Bairro: Valada São Paulo, Rio do Sul - SC."", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA NA RUA: CARLOS CHAGAS, BAIRRO: SUMARÉ, RIO DO SUL - SC.""]",683055.49,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao""]",SC,CONTRATADO,51912217.48
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",36 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},MUNICÍPIO DE CAMPOS NOVOS,82939232000174,2026-07-23,2023-07-20,36,9,71,False,0.5,"[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA NOS TRECHOS II E III DE ACESSO AO GUARANI E NO TRECHO V DE ACESSO AO CAXAMBU, NA RODOVIA MUNICIPAL Nº 70, LOCALIZ"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA DO ACESSO A LOCALIDADE DO GUARANI - TRECHO I, LOCALIZADA NA ÁREA RURAL DO MUNICÍPIO DE CAMPOS NOVOS/SC ."", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA DO TRECHO II DE EMENDA DA RODOVIA MUNICIPAL N° 70 - CAXAMBU, LOCALIZADA NA ÁREA RURAL DO MUNICÍPIO DE CAMPOS NOVOS/""]",451509.31,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao""]",SC,CONTRATADO,16254335.2
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",36 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA,82916826000160,2026-07-23,2023-07-20,36,10,62,False,0.583,"[""Contratação de empresa especializada em prestação de serviços de hidrojateamento para desobstrução de rede de esgoto, sucção para limpeza de resíduos de fossa séptica e transporte de água para atender"", ""Contratação de empresa especializada em prestação de serviços de hidrojateamento para desobstrução de rede de esgoto, sucção para limpeza de resíduos de fossa séptica e transporte de água potável para"", ""Contratação de empresa especializada para elaboração de projetos de pavimentação asfáltica ou lajotas, drenagem pluvial e sinalização viária de ruas para o município de Nova Veneza/SC.""]",444022.73,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""pavimentacao"", ""saneamento""]",SC,CONTRATADO,15984818.22
